soil_type,ph,nitrogen_n,phosphorus_p,potassium_k,ec,moisture,soil_temperature,ph_class,n_class,p_class,k_class,ec_class,moisture_class,overall_health
red,6.45,254.2,70.6,53.7,1426,84.3,25.8,slightly_acidic,very_high,medium,low,high_salinity,waterlogged,fair
alluvial,5.13,248.6,64.2,214.9,384,77.0,27.3,strongly_acidic,very_high,medium,very_high,low,moist,fair
alluvial,6.45,288.1,84.2,59.0,1268,42.4,41.6,slightly_acidic,very_high,high,low,high_salinity,optimal,fair
laterite,5.27,63.8,20.2,13.6,786,74.8,10.1,strongly_acidic,low,very_low,very_low,normal,moist,poor
sandy,7.59,37.5,132.5,89.5,2040,36.7,21.1,slightly_alkaline,very_low,very_high,medium,very_high_salinity,dry,poor
black_cotton,6.09,168.5,53.9,58.0,1579,84.8,32.4,slightly_acidic,high,low,low,very_high_salinity,waterlogged,poor
sandy,8.72,236.0,11.0,66.4,1986,78.1,31.3,strongly_alkaline,very_high,very_low,low,very_high_salinity,moist,very_poor
sandy,6.72,166.4,36.4,185.7,1185,37.2,20.5,neutral,high,low,very_high,high_salinity,dry,fair
sandy,6.3,286.7,29.1,73.1,1271,57.0,36.2,slightly_acidic,very_high,very_low,medium,high_salinity,optimal,poor
laterite,7.69,57.3,33.6,196.7,2401,20.3,19.9,slightly_alkaline,low,low,very_high,very_high_salinity,dry,poor
sandy,7.2,205.4,75.4,100.4,1092,84.0,30.1,neutral,very_high,medium,medium,high_salinity,waterlogged,good
red,9.0,294.5,112.9,7.7,2249,17.6,31.0,strongly_alkaline,very_high,very_high,very_low,very_high_salinity,very_dry,poor
sandy,5.08,43.1,105.9,191.4,2322,92.5,11.7,strongly_acidic,low,high,very_high,very_high_salinity,waterlogged,poor
laterite,5.22,225.9,129.9,31.3,1005,21.7,24.4,strongly_acidic,very_high,very_high,very_low,high_salinity,dry,poor
red,5.54,286.7,26.9,168.1,566,43.5,21.6,slightly_acidic,very_high,very_low,very_high,normal,optimal,fair
laterite,7.93,175.2,138.2,119.8,2114,49.7,18.2,slightly_alkaline,high,very_high,high,very_high_salinity,optimal,good
alluvial,7.13,144.8,76.5,210.0,2477,6.2,31.1,neutral,high,medium,very_high,very_high_salinity,very_dry,good
laterite,5.66,52.3,92.6,34.6,1377,14.2,22.6,slightly_acidic,low,high,very_low,high_salinity,very_dry,poor
sandy,7.92,175.8,78.1,179.6,1634,76.8,28.6,slightly_alkaline,high,medium,very_high,very_high_salinity,moist,fair
laterite,7.08,227.4,77.5,177.3,1347,22.7,14.1,neutral,very_high,medium,very_high,high_salinity,dry,fair
laterite,4.62,153.6,16.6,51.0,254,23.4,22.5,strongly_acidic,high,very_low,low,low,dry,poor
red,4.79,192.9,18.9,187.9,160,66.8,32.4,strongly_acidic,very_high,very_low,very_high,very_low,moist,poor
alluvial,4.68,210.5,81.9,38.4,490,19.2,26.0,strongly_acidic,very_high,high,very_low,normal,very_dry,fair
alluvial,5.36,82.7,91.0,84.1,1783,60.8,19.5,strongly_acidic,medium,high,medium,very_high_salinity,moist,fair
sandy,5.82,283.1,121.6,5.7,1648,27.4,27.7,slightly_acidic,very_high,very_high,very_low,very_high_salinity,dry,poor
black_cotton,6.96,24.4,91.9,190.5,467,72.2,12.5,neutral,very_low,high,very_high,normal,moist,good
red,7.53,273.9,24.5,151.8,100,79.3,21.5,slightly_alkaline,very_high,very_low,high,very_low,moist,fair
red,5.63,286.9,60.1,28.3,1544,62.9,20.4,slightly_acidic,very_high,medium,very_low,very_high_salinity,moist,poor
alluvial,6.65,170.4,133.9,37.8,1564,62.2,35.2,neutral,high,very_high,very_low,very_high_salinity,moist,fair
black_cotton,7.05,269.9,62.8,208.0,1727,26.0,31.0,neutral,very_high,medium,very_high,very_high_salinity,dry,fair
laterite,4.92,102.8,100.1,204.7,2212,45.6,37.3,strongly_acidic,medium,high,very_high,very_high_salinity,optimal,fair
sandy,5.74,230.6,92.4,66.0,498,38.5,28.6,slightly_acidic,very_high,high,low,normal,dry,good
sandy,7.88,240.2,124.8,171.5,1009,15.6,18.5,slightly_alkaline,very_high,very_high,very_high,high_salinity,very_dry,fair
alluvial,7.09,143.8,119.9,18.2,106,20.6,27.6,neutral,high,very_high,very_low,very_low,dry,fair
sandy,6.68,75.8,107.7,22.6,699,64.2,35.7,neutral,low,high,very_low,normal,moist,good
sandy,6.32,202.9,60.4,78.7,768,76.2,35.5,slightly_acidic,very_high,medium,medium,normal,moist,good
red,5.15,146.8,128.5,41.4,1122,64.2,26.0,strongly_acidic,high,very_high,low,high_salinity,moist,poor
black_cotton,7.29,217.9,42.6,153.7,1844,66.0,28.5,neutral,very_high,low,high,very_high_salinity,moist,fair
alluvial,8.25,161.7,116.2,32.7,712,56.4,40.3,slightly_alkaline,high,very_high,very_low,normal,optimal,good
red,5.65,276.8,91.5,186.7,1716,14.4,10.2,slightly_acidic,very_high,high,very_high,very_high_salinity,very_dry,fair
alluvial,7.69,278.8,132.8,97.7,2496,80.5,23.3,slightly_alkaline,very_high,very_high,medium,very_high_salinity,waterlogged,fair
alluvial,6.18,73.8,126.1,173.3,1873,89.2,39.4,slightly_acidic,low,very_high,very_high,very_high_salinity,waterlogged,poor
alluvial,6.38,129.9,125.3,31.8,2268,52.2,25.5,slightly_acidic,high,very_high,very_low,very_high_salinity,optimal,poor
alluvial,5.96,278.0,65.2,204.4,1383,29.6,34.8,slightly_acidic,very_high,medium,very_high,high_salinity,dry,fair
sandy,5.25,169.7,47.8,66.1,1999,85.2,14.8,strongly_acidic,high,low,low,very_high_salinity,waterlogged,poor
alluvial,7.65,275.2,92.6,44.8,520,38.0,25.0,slightly_alkaline,very_high,high,low,normal,dry,good
black_cotton,6.51,168.7,42.5,86.1,1672,36.8,12.2,neutral,high,low,medium,very_high_salinity,dry,fair
red,4.86,190.5,60.0,200.7,2249,76.4,32.2,strongly_acidic,very_high,medium,very_high,very_high_salinity,moist,poor
red,7.33,100.5,97.4,204.6,2299,8.1,20.8,neutral,medium,high,very_high,very_high_salinity,very_dry,good
black_cotton,7.06,13.3,127.7,46.6,1851,81.8,24.0,neutral,very_low,very_high,low,very_high_salinity,waterlogged,poor
alluvial,7.77,297.1,76.5,39.9,956,34.1,36.4,slightly_alkaline,very_high,medium,very_low,high_salinity,dry,fair
sandy,4.69,215.9,116.4,162.2,300,83.3,21.4,strongly_acidic,very_high,very_high,very_high,low,waterlogged,poor
alluvial,6.36,44.8,125.4,165.6,1813,54.4,26.7,slightly_acidic,low,very_high,very_high,very_high_salinity,optimal,poor
red,6.63,283.2,103.3,122.9,806,47.1,19.8,neutral,very_high,high,high,high_salinity,optimal,good
sandy,6.07,180.4,95.2,209.4,1445,57.3,17.6,slightly_acidic,very_high,high,very_high,high_salinity,optimal,fair
black_cotton,5.76,223.1,76.6,188.1,1621,37.6,29.9,slightly_acidic,very_high,medium,very_high,very_high_salinity,dry,fair
alluvial,8.39,51.4,105.7,95.8,2110,93.8,35.0,slightly_alkaline,low,high,medium,very_high_salinity,waterlogged,fair
black_cotton,8.26,141.6,102.1,141.6,1913,50.2,23.5,slightly_alkaline,high,high,high,very_high_salinity,optimal,good
red,6.17,265.7,134.8,14.8,461,23.9,12.3,slightly_acidic,very_high,very_high,very_low,normal,dry,fair
red,6.23,264.2,39.2,178.2,355,68.3,19.2,slightly_acidic,very_high,low,very_high,low,moist,fair
red,4.73,253.4,71.4,7.2,881,16.8,11.4,strongly_acidic,very_high,medium,very_low,high_salinity,very_dry,poor
black_cotton,6.24,251.1,49.4,199.1,1283,51.6,11.0,slightly_acidic,very_high,low,very_high,high_salinity,optimal,poor
laterite,5.51,107.9,30.2,142.4,2318,16.7,17.8,slightly_acidic,medium,low,high,very_high_salinity,very_dry,fair
sandy,6.2,171.2,17.0,209.3,521,61.6,10.9,slightly_acidic,high,very_low,very_high,normal,moist,fair
red,8.19,285.6,73.8,139.9,961,59.9,17.4,slightly_alkaline,very_high,medium,high,high_salinity,optimal,good
red,6.07,22.8,49.5,19.0,634,57.6,13.3,slightly_acidic,very_low,low,very_low,normal,optimal,poor
red,6.23,143.4,33.2,131.8,2159,9.4,11.4,slightly_acidic,high,low,high,very_high_salinity,very_dry,fair
laterite,8.8,237.0,63.4,174.3,366,51.1,12.4,strongly_alkaline,very_high,medium,very_high,low,optimal,fair
black_cotton,7.54,214.6,82.1,134.5,2471,64.1,11.2,slightly_alkaline,very_high,high,high,very_high_salinity,moist,good
alluvial,4.82,260.4,68.6,83.8,2388,26.4,27.5,strongly_acidic,very_high,medium,medium,very_high_salinity,dry,poor
red,8.89,73.5,109.3,188.9,2041,80.9,18.5,strongly_alkaline,low,high,very_high,very_high_salinity,waterlogged,poor
black_cotton,6.45,199.1,8.2,85.2,1268,12.2,22.0,slightly_acidic,very_high,very_low,medium,high_salinity,very_dry,poor
laterite,4.53,194.8,26.1,217.7,363,69.6,14.1,strongly_acidic,very_high,very_low,very_high,low,moist,poor
black_cotton,8.9,37.5,97.5,120.9,1892,50.5,36.4,strongly_alkaline,very_low,high,high,very_high_salinity,optimal,fair
sandy,8.57,83.4,14.8,60.8,403,77.1,32.6,strongly_alkaline,medium,very_low,low,normal,moist,fair
laterite,5.09,59.0,79.9,126.1,774,85.9,13.4,strongly_acidic,low,medium,high,normal,waterlogged,fair
alluvial,7.17,59.8,67.7,129.8,1339,62.1,29.6,neutral,low,medium,high,high_salinity,moist,good
red,5.49,257.8,126.5,146.6,2314,60.7,36.9,strongly_acidic,very_high,very_high,high,very_high_salinity,moist,poor
sandy,8.18,169.8,96.5,81.9,1289,87.2,27.6,slightly_alkaline,high,high,medium,high_salinity,waterlogged,good
alluvial,7.0,65.1,16.9,183.1,396,84.4,17.1,neutral,low,very_low,very_high,low,waterlogged,fair
laterite,6.35,97.4,125.6,63.9,885,74.8,37.4,slightly_acidic,medium,very_high,low,high_salinity,moist,fair
red,6.41,295.2,85.5,69.6,693,20.0,36.0,slightly_acidic,very_high,high,low,normal,dry,good
alluvial,8.77,266.7,83.3,90.5,1680,61.6,13.4,strongly_alkaline,very_high,high,medium,very_high_salinity,moist,fair
black_cotton,8.13,171.9,81.4,70.1,1229,91.6,17.3,slightly_alkaline,high,high,medium,high_salinity,waterlogged,good
sandy,5.54,41.9,93.7,148.0,1863,65.0,22.2,slightly_acidic,low,high,high,very_high_salinity,moist,fair
laterite,6.56,280.1,95.1,70.2,1550,77.5,19.6,neutral,very_high,high,medium,very_high_salinity,moist,good
black_cotton,8.19,212.8,104.0,149.4,1239,54.8,35.4,slightly_alkaline,very_high,high,high,high_salinity,optimal,good
black_cotton,8.1,196.0,29.2,201.2,1583,17.1,32.8,slightly_alkaline,very_high,very_low,very_high,very_high_salinity,very_dry,poor
alluvial,4.53,242.5,49.6,51.0,2354,74.8,27.5,strongly_acidic,very_high,low,low,very_high_salinity,moist,very_poor
sandy,6.45,129.9,67.0,39.7,569,7.5,38.5,slightly_acidic,high,medium,very_low,normal,very_dry,good
red,6.83,13.6,36.9,51.7,833,70.0,32.1,neutral,very_low,low,low,high_salinity,moist,poor
sandy,5.48,245.1,43.0,155.6,1335,70.7,40.4,strongly_acidic,very_high,low,high,high_salinity,moist,poor
red,7.05,188.2,67.9,144.1,1264,8.4,39.8,neutral,very_high,medium,high,high_salinity,very_dry,good
alluvial,6.66,92.9,14.7,88.2,1051,48.5,12.9,neutral,medium,very_low,medium,high_salinity,optimal,fair
alluvial,8.12,195.0,94.2,135.9,1459,66.2,33.4,slightly_alkaline,very_high,high,high,high_salinity,moist,good
alluvial,8.3,108.9,74.4,27.8,1104,62.4,27.4,slightly_alkaline,medium,medium,very_low,high_salinity,moist,fair
red,6.82,277.5,111.4,140.7,748,71.5,23.9,neutral,very_high,very_high,high,normal,moist,good
red,8.46,217.5,118.6,191.0,682,71.0,25.7,slightly_alkaline,very_high,very_high,very_high,normal,moist,good
black_cotton,6.34,222.1,26.2,64.8,2263,61.1,34.8,slightly_acidic,very_high,very_low,low,very_high_salinity,moist,poor
black_cotton,4.71,247.0,37.2,200.5,790,28.8,24.5,strongly_acidic,very_high,low,very_high,normal,dry,fair
alluvial,8.58,105.2,26.1,47.8,1099,30.8,21.2,strongly_alkaline,medium,very_low,low,high_salinity,dry,poor
alluvial,8.27,127.9,6.0,192.3,1117,81.4,36.2,slightly_alkaline,high,very_low,very_high,high_salinity,waterlogged,fair
red,8.88,27.2,60.3,87.3,1404,88.6,17.0,strongly_alkaline,very_low,medium,medium,high_salinity,waterlogged,poor
laterite,5.87,95.3,95.2,117.8,1558,48.3,19.3,slightly_acidic,medium,high,high,very_high_salinity,optimal,good
sandy,7.23,216.5,85.0,135.2,1503,31.2,19.7,neutral,very_high,high,high,very_high_salinity,dry,good
black_cotton,5.25,44.5,125.4,175.3,841,52.5,35.8,strongly_acidic,low,very_high,very_high,high_salinity,optimal,poor
laterite,8.3,99.3,121.0,170.7,371,60.9,22.7,slightly_alkaline,medium,very_high,very_high,low,moist,fair
sandy,4.79,121.3,129.4,211.0,1313,15.1,17.7,strongly_acidic,high,very_high,very_high,high_salinity,very_dry,fair
alluvial,6.6,251.1,106.4,34.2,720,60.9,39.3,neutral,very_high,high,very_low,normal,moist,good
alluvial,8.7,270.0,94.7,114.2,711,54.1,28.8,strongly_alkaline,very_high,high,high,normal,optimal,good
red,8.04,187.8,91.8,16.4,1809,91.9,34.2,slightly_alkaline,very_high,high,very_low,very_high_salinity,waterlogged,fair
laterite,6.78,288.1,25.0,135.6,322,23.3,26.9,neutral,very_high,very_low,high,low,dry,fair
sandy,6.98,202.4,135.3,180.4,689,27.0,17.4,neutral,very_high,very_high,very_high,normal,dry,good
alluvial,5.45,82.1,108.3,42.2,402,24.1,33.9,strongly_acidic,medium,high,low,normal,dry,fair
laterite,5.01,206.5,64.5,42.4,2436,46.7,31.3,strongly_acidic,very_high,medium,low,very_high_salinity,optimal,poor
black_cotton,5.58,51.5,57.5,137.1,1974,62.5,38.3,slightly_acidic,low,medium,high,very_high_salinity,moist,fair
sandy,6.51,193.1,26.2,41.4,978,52.9,36.4,neutral,very_high,very_low,low,high_salinity,optimal,poor
black_cotton,7.32,232.6,17.5,148.2,1026,6.8,25.1,neutral,very_high,very_low,high,high_salinity,very_dry,fair
alluvial,8.71,102.8,42.5,77.5,570,17.3,20.3,strongly_alkaline,medium,low,medium,normal,very_dry,fair
black_cotton,7.5,153.0,135.0,112.4,1839,45.7,36.5,slightly_alkaline,high,very_high,high,very_high_salinity,optimal,good
sandy,6.73,80.6,109.2,109.0,867,38.1,28.1,neutral,medium,high,medium,high_salinity,dry,good
red,5.44,149.6,83.3,105.0,200,76.9,13.9,strongly_acidic,high,high,medium,low,moist,good
alluvial,8.27,239.3,32.2,158.1,1520,80.5,40.7,slightly_alkaline,very_high,low,high,very_high_salinity,waterlogged,fair
black_cotton,5.38,275.2,59.8,121.2,1479,26.4,24.5,strongly_acidic,very_high,medium,high,high_salinity,dry,fair
laterite,6.25,157.6,86.3,128.5,1901,85.0,38.7,slightly_acidic,high,high,high,very_high_salinity,waterlogged,good
sandy,7.95,128.7,94.8,213.0,1826,35.2,11.9,slightly_alkaline,high,high,very_high,very_high_salinity,dry,good
alluvial,8.79,92.4,11.3,181.3,703,49.8,16.1,strongly_alkaline,medium,very_low,very_high,normal,optimal,fair
sandy,8.5,147.7,135.3,48.4,1328,40.1,29.9,strongly_alkaline,high,very_high,low,high_salinity,optimal,fair
alluvial,7.45,250.4,90.1,6.9,1992,58.8,13.2,neutral,very_high,high,very_low,very_high_salinity,optimal,fair
alluvial,7.36,16.6,105.4,118.6,1928,84.7,21.6,neutral,very_low,high,high,very_high_salinity,waterlogged,fair
sandy,5.96,47.6,138.4,158.2,2260,28.8,27.5,slightly_acidic,low,very_high,high,very_high_salinity,dry,fair
black_cotton,7.97,57.3,114.7,94.4,1442,18.8,13.7,slightly_alkaline,low,very_high,medium,high_salinity,very_dry,fair
black_cotton,7.05,141.2,104.2,42.0,2175,26.7,21.2,neutral,high,high,low,very_high_salinity,dry,good
sandy,6.31,221.5,96.1,174.7,1811,74.3,34.5,slightly_acidic,very_high,high,very_high,very_high_salinity,moist,fair
black_cotton,6.54,266.4,75.3,216.4,1644,94.4,12.3,neutral,very_high,medium,very_high,very_high_salinity,waterlogged,fair
sandy,6.8,81.5,27.0,42.1,1808,40.3,21.0,neutral,medium,very_low,low,very_high_salinity,optimal,poor
alluvial,7.48,223.3,67.4,86.2,2366,12.5,12.5,neutral,very_high,medium,medium,very_high_salinity,very_dry,fair
alluvial,8.97,260.4,82.1,101.6,349,46.4,14.2,strongly_alkaline,very_high,high,medium,low,optimal,fair
black_cotton,6.37,300.0,10.7,144.3,921,41.3,11.6,slightly_acidic,very_high,very_low,high,high_salinity,optimal,fair
black_cotton,8.37,97.2,48.0,142.4,2337,93.8,32.5,slightly_alkaline,medium,low,high,very_high_salinity,waterlogged,fair
black_cotton,8.05,264.6,33.0,191.9,544,50.1,23.2,slightly_alkaline,very_high,low,very_high,normal,optimal,fair
laterite,7.71,242.8,37.0,100.0,1143,94.0,36.7,slightly_alkaline,very_high,low,medium,high_salinity,waterlogged,fair
laterite,7.11,181.0,138.9,132.4,1662,36.0,38.8,neutral,very_high,very_high,high,very_high_salinity,dry,fair
alluvial,8.11,205.6,7.4,97.7,1759,26.9,16.2,slightly_alkaline,very_high,very_low,medium,very_high_salinity,dry,poor
laterite,6.29,105.5,39.1,33.6,1458,46.8,19.6,slightly_acidic,medium,low,very_low,high_salinity,optimal,poor
sandy,7.46,10.4,129.7,89.0,212,85.3,15.5,neutral,very_low,very_high,medium,low,waterlogged,fair
sandy,4.51,279.2,8.7,109.0,2393,13.9,25.0,strongly_acidic,very_high,very_low,medium,very_high_salinity,very_dry,poor
alluvial,6.37,65.4,21.2,91.9,2499,26.2,22.3,slightly_acidic,low,very_low,medium,very_high_salinity,dry,poor
laterite,7.99,33.6,94.5,60.6,2440,10.5,28.5,slightly_alkaline,very_low,high,low,very_high_salinity,very_dry,poor
alluvial,7.43,114.8,79.4,165.4,1736,56.6,15.2,neutral,medium,medium,very_high,very_high_salinity,optimal,fair
alluvial,6.44,289.9,72.1,174.1,892,71.4,23.0,slightly_acidic,very_high,medium,very_high,high_salinity,moist,fair
alluvial,7.37,294.3,134.8,151.1,1925,58.6,18.9,neutral,very_high,very_high,high,very_high_salinity,optimal,fair
laterite,8.42,293.2,30.0,116.8,1462,90.3,26.2,slightly_alkaline,very_high,low,high,high_salinity,waterlogged,fair
black_cotton,8.72,293.6,57.0,133.7,2479,18.5,41.7,strongly_alkaline,very_high,medium,high,very_high_salinity,very_dry,fair
red,4.51,296.1,139.1,54.1,2373,62.6,17.6,strongly_acidic,very_high,very_high,low,very_high_salinity,moist,poor
alluvial,7.91,244.1,55.8,183.7,1320,22.6,39.9,slightly_alkaline,very_high,medium,very_high,high_salinity,dry,fair
alluvial,7.03,239.1,131.0,54.7,319,81.9,17.4,neutral,very_high,very_high,low,low,waterlogged,fair
red,5.89,161.0,118.3,194.4,1620,22.2,31.1,slightly_acidic,high,very_high,very_high,very_high_salinity,dry,fair
sandy,4.6,213.4,89.9,149.6,2024,53.5,20.6,strongly_acidic,very_high,high,high,very_high_salinity,optimal,fair
alluvial,7.5,89.4,135.5,69.9,928,44.3,13.1,slightly_alkaline,medium,very_high,low,high_salinity,optimal,fair
red,6.9,138.0,94.4,130.3,1781,47.3,22.4,neutral,high,high,high,very_high_salinity,optimal,good
red,6.98,281.3,83.3,19.0,1343,45.6,28.1,neutral,very_high,high,very_low,high_salinity,optimal,fair
sandy,6.29,117.0,41.5,165.1,1204,91.7,36.9,slightly_acidic,medium,low,very_high,high_salinity,waterlogged,fair
black_cotton,6.71,220.9,98.7,136.3,1729,24.1,27.5,neutral,very_high,high,high,very_high_salinity,dry,good
laterite,8.33,104.3,74.5,47.5,499,15.3,19.0,slightly_alkaline,medium,medium,low,normal,very_dry,good
red,5.22,205.5,27.0,170.3,1556,88.9,31.5,strongly_acidic,very_high,very_low,very_high,very_high_salinity,waterlogged,very_poor
black_cotton,5.98,117.7,87.3,136.9,1531,32.0,16.0,slightly_acidic,medium,high,high,very_high_salinity,dry,good
alluvial,7.68,223.5,61.1,198.9,2169,79.4,33.6,slightly_alkaline,very_high,medium,very_high,very_high_salinity,moist,fair
red,4.84,15.5,132.5,117.8,2142,14.9,12.1,strongly_acidic,very_low,very_high,high,very_high_salinity,very_dry,poor
red,6.03,137.3,97.9,83.3,901,5.7,17.1,slightly_acidic,high,high,medium,high_salinity,very_dry,good
laterite,8.98,197.5,90.8,130.2,483,84.6,17.7,strongly_alkaline,very_high,high,high,normal,waterlogged,good
black_cotton,5.4,119.3,19.9,168.4,2182,84.8,16.3,strongly_acidic,medium,very_low,very_high,very_high_salinity,waterlogged,poor
sandy,5.97,14.6,112.3,125.7,1592,39.0,34.0,slightly_acidic,very_low,very_high,high,very_high_salinity,dry,poor
laterite,5.63,38.6,25.4,163.6,1099,22.5,11.5,slightly_acidic,very_low,very_low,very_high,high_salinity,dry,poor
red,7.94,200.1,127.3,44.1,600,19.4,12.5,slightly_alkaline,very_high,very_high,low,normal,very_dry,fair
red,8.49,122.5,55.6,187.6,1890,89.0,35.7,slightly_alkaline,high,medium,very_high,very_high_salinity,waterlogged,fair
sandy,9.0,42.9,74.3,158.2,514,37.4,16.1,strongly_alkaline,low,medium,high,normal,dry,good
alluvial,8.02,265.2,84.1,69.4,1804,77.1,29.6,slightly_alkaline,very_high,high,low,very_high_salinity,moist,fair
sandy,7.89,251.0,131.3,175.1,2472,73.9,31.1,slightly_alkaline,very_high,very_high,very_high,very_high_salinity,moist,fair
sandy,4.95,154.8,74.8,130.1,1288,25.3,24.7,strongly_acidic,high,medium,high,high_salinity,dry,fair
laterite,7.95,250.4,118.1,77.6,1173,46.0,39.5,slightly_alkaline,very_high,very_high,medium,high_salinity,optimal,fair
black_cotton,6.47,169.9,45.9,63.0,2305,18.2,11.3,slightly_acidic,high,low,low,very_high_salinity,very_dry,poor
laterite,8.42,66.8,81.4,217.5,159,7.8,21.8,slightly_alkaline,low,high,very_high,very_low,very_dry,fair
black_cotton,7.55,65.8,127.9,29.2,2360,76.5,28.2,slightly_alkaline,low,very_high,very_low,very_high_salinity,moist,poor
sandy,6.23,51.0,53.2,85.6,2298,25.1,26.5,slightly_acidic,low,low,medium,very_high_salinity,dry,poor
alluvial,4.75,129.8,105.0,57.3,977,73.1,28.0,strongly_acidic,high,high,low,high_salinity,moist,fair
laterite,4.65,97.3,136.8,177.2,2189,16.1,36.2,strongly_acidic,medium,very_high,very_high,very_high_salinity,very_dry,poor
sandy,7.46,239.0,35.2,207.2,94,24.3,37.3,neutral,very_high,low,very_high,very_low,dry,fair
sandy,8.69,156.9,57.6,216.4,2296,44.0,35.1,strongly_alkaline,high,medium,very_high,very_high_salinity,optimal,fair
black_cotton,7.49,26.7,61.0,181.9,497,49.1,37.2,neutral,very_low,medium,very_high,normal,optimal,good
laterite,5.03,81.4,20.0,140.8,1688,62.3,18.0,strongly_acidic,medium,very_low,high,very_high_salinity,moist,poor
alluvial,4.71,278.1,110.1,102.5,1399,87.3,26.5,strongly_acidic,very_high,very_high,medium,high_salinity,waterlogged,poor
sandy,4.9,258.6,32.3,63.1,2325,10.6,40.8,strongly_acidic,very_high,low,low,very_high_salinity,very_dry,very_poor
alluvial,5.87,167.8,99.0,188.6,2158,18.9,30.1,slightly_acidic,high,high,very_high,very_high_salinity,very_dry,fair
laterite,5.86,180.7,6.4,179.1,1376,57.6,32.1,slightly_acidic,very_high,very_low,very_high,high_salinity,optimal,poor
laterite,5.43,77.0,10.5,219.4,1620,57.0,23.7,strongly_acidic,low,very_low,very_high,very_high_salinity,optimal,very_poor
alluvial,4.59,7.4,63.4,56.9,1291,26.6,13.3,strongly_acidic,very_low,medium,low,high_salinity,dry,poor
black_cotton,7.47,224.6,22.8,135.3,1517,15.8,30.9,neutral,very_high,very_low,high,very_high_salinity,very_dry,fair
sandy,7.64,268.0,104.2,135.9,1958,63.7,39.3,slightly_alkaline,very_high,high,high,very_high_salinity,moist,good
alluvial,5.21,174.1,73.9,71.4,2008,11.8,40.4,strongly_acidic,high,medium,medium,very_high_salinity,very_dry,fair
laterite,4.63,130.1,130.7,123.2,998,72.0,38.7,strongly_acidic,high,very_high,high,high_salinity,moist,fair
alluvial,5.38,131.6,77.7,211.4,1595,12.8,41.7,strongly_acidic,high,medium,very_high,very_high_salinity,very_dry,fair
sandy,5.41,105.8,27.8,66.8,2027,46.5,33.6,strongly_acidic,medium,very_low,low,very_high_salinity,optimal,very_poor
red,6.64,11.8,105.9,194.9,2126,51.6,41.4,neutral,very_low,high,very_high,very_high_salinity,optimal,fair
alluvial,8.61,282.1,83.8,101.4,1019,6.1,35.8,strongly_alkaline,very_high,high,medium,high_salinity,very_dry,fair
black_cotton,8.67,14.5,63.0,141.2,1673,19.3,27.9,strongly_alkaline,very_low,medium,high,very_high_salinity,very_dry,poor
sandy,8.24,135.8,15.8,136.7,1104,81.2,19.0,slightly_alkaline,high,very_low,high,high_salinity,waterlogged,fair
red,4.55,179.5,78.7,55.0,2303,84.6,16.5,strongly_acidic,high,medium,low,very_high_salinity,waterlogged,poor
red,6.23,200.9,65.8,72.9,2061,93.8,39.9,slightly_acidic,very_high,medium,medium,very_high_salinity,waterlogged,fair
red,7.43,19.6,95.4,35.4,1304,5.5,15.0,neutral,very_low,high,very_low,high_salinity,very_dry,fair
laterite,8.25,34.8,122.7,201.1,592,45.8,37.2,slightly_alkaline,very_low,very_high,very_high,normal,optimal,fair
alluvial,4.63,191.0,14.8,83.7,1873,84.0,33.0,strongly_acidic,very_high,very_low,medium,very_high_salinity,waterlogged,poor
black_cotton,7.48,75.8,102.2,51.9,1497,84.4,39.9,neutral,low,high,low,high_salinity,waterlogged,fair
black_cotton,8.59,274.7,83.8,106.0,1112,16.3,41.4,strongly_alkaline,very_high,high,medium,high_salinity,very_dry,fair
black_cotton,5.17,299.1,104.4,7.0,1513,51.8,39.4,strongly_acidic,very_high,high,very_low,very_high_salinity,optimal,poor
red,8.35,96.3,56.4,27.8,2096,24.8,11.7,slightly_alkaline,medium,medium,very_low,very_high_salinity,dry,fair
black_cotton,8.91,265.1,40.7,83.0,1639,55.7,21.4,strongly_alkaline,very_high,low,medium,very_high_salinity,optimal,poor
black_cotton,8.67,178.3,24.8,106.1,128,44.9,25.9,strongly_alkaline,high,very_low,medium,very_low,optimal,fair
alluvial,8.36,194.4,54.5,198.7,639,71.3,23.6,slightly_alkaline,very_high,low,very_high,normal,moist,fair
black_cotton,5.48,236.3,130.9,74.3,1721,76.8,32.3,strongly_acidic,very_high,very_high,medium,very_high_salinity,moist,poor
black_cotton,5.84,75.3,100.5,204.7,433,32.6,13.8,slightly_acidic,low,high,very_high,normal,dry,good
alluvial,8.52,260.5,44.7,17.4,1608,51.3,25.4,strongly_alkaline,very_high,low,very_low,very_high_salinity,optimal,very_poor
red,6.89,193.1,54.6,129.6,1914,82.7,34.6,neutral,very_high,low,high,very_high_salinity,waterlogged,fair
sandy,4.69,49.5,136.9,159.4,975,15.3,36.7,strongly_acidic,low,very_high,high,high_salinity,very_dry,poor
red,5.17,229.1,107.2,131.9,2272,94.7,41.5,strongly_acidic,very_high,high,high,very_high_salinity,waterlogged,fair
black_cotton,6.91,127.3,139.6,185.5,1248,19.4,22.0,neutral,high,very_high,very_high,high_salinity,very_dry,good
alluvial,8.28,21.5,38.4,86.5,1625,10.8,40.9,slightly_alkaline,very_low,low,medium,very_high_salinity,very_dry,poor
sandy,4.81,178.7,75.6,6.7,2072,91.6,28.7,strongly_acidic,high,medium,very_low,very_high_salinity,waterlogged,poor
