crop,growth_stage,soil_type,nitrogen_n,phosphorus_p,potassium_k,n_status,p_status,k_status,moisture,soil_temperature,land_area_acres,fertilizer_name,dose_kg_per_acre,total_dose_kg,application_timing,notes
tomato,flowering,laterite,200.3,61.0,25.4,high,medium,low,44.6,13.0,2.7,19:19:19 NPK,11.2,30.2,Apply at flower bud initiation; avoid leaf contact,Balanced NPK at fruit set
urad,flowering,alluvial,177.1,83.5,80.0,high,high,medium,57.7,29.8,4.9,MOP,8.0,39.2,Apply at flower bud initiation; avoid leaf contact,Pod development
grapes,pre_sowing,red,14.2,89.6,83.1,low,high,medium,70.1,21.0,3.7,DAP + MOP,18.0,66.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Pruning time dose
moong_rabi,germination,alluvial,238.6,52.1,25.0,high,medium,low,31.0,14.9,6.6,Rhizobium Biofert,5.0,33.0,Apply at sowing time or within first 7 DAS,Seed treatment
linseed,vegetative,sandy,219.4,20.1,179.9,high,low,high,29.3,21.4,2.7,Urea,7.2,19.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
moong_kharif,flowering,black_cotton,82.2,78.2,126.5,medium,medium,high,44.9,25.4,6.6,MOP,4.0,26.4,Apply at flower bud initiation; avoid leaf contact,Pod fill
jowar_kharif,vegetative,red,116.4,84.5,60.8,high,high,medium,27.0,21.2,3.2,Urea,12.0,38.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
moong_kharif,pre_sowing,red,21.3,20.9,93.4,low,low,medium,27.7,24.2,4.4,SSP + MOP,21.6,95.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N legume
jowar_kharif,vegetative,red,10.7,59.1,54.5,low,medium,medium,55.9,13.5,6.1,Urea,26.0,158.6,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
sunflower_kharif,flowering,black_cotton,43.6,82.6,27.4,medium,high,low,43.9,14.3,6.5,Boron Spray,5.0,32.5,Apply at flower bud initiation; avoid leaf contact,Prevent hollow stem
tur_arhar,germination,sandy,222.5,115.5,158.2,high,high,high,69.7,26.4,9.2,Rhizobium Biofert,5.0,46.0,Apply at sowing time or within first 7 DAS,Seed treatment
sesame,pre_sowing,sandy,139.2,79.2,135.8,high,medium,high,28.5,13.3,1.3,DAP,18.0,23.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
linseed,pre_sowing,alluvial,17.8,53.9,104.3,low,medium,high,76.8,26.1,0.8,DAP + MOP,10.0,8.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
bajra,vegetative,sandy,241.4,83.5,120.6,high,high,high,32.7,15.2,4.3,Urea,10.8,46.4,Top dress at 20-30 DAS; broadcast and irrigate,N top dress 3 weeks after sowing
tur_arhar,vegetative,laterite,228.7,119.8,81.4,high,high,medium,53.8,24.7,0.6,Urea,6.0,3.6,Top dress at 20-30 DAS; broadcast and irrigate,Light N if pale
urad,germination,alluvial,37.6,88.3,141.8,low,high,high,25.5,32.1,2.0,Rhizobium Biofert,5.0,10.0,Apply at sowing time or within first 7 DAS,Seed inoculation
pomegranate,flowering,red,145.6,98.3,110.5,high,high,high,70.5,16.2,4.4,Urea + MOP,9.0,39.6,Apply at flower bud initiation; avoid leaf contact,Fruit set
wheat,flowering,alluvial,16.0,29.9,60.1,low,low,medium,23.3,30.7,3.2,Urea,13.0,41.6,Apply at flower bud initiation; avoid leaf contact,Grain initiation
pomegranate,flowering,black_cotton,274.5,94.5,139.9,high,high,high,38.5,31.7,8.4,Urea + MOP,9.0,75.6,Apply at flower bud initiation; avoid leaf contact,Fruit set
cotton,pre_sowing,alluvial,187.6,88.8,129.1,high,high,high,39.5,25.5,0.9,DAP + MOP,12.0,10.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal: 25N 25P 25K
linseed,pre_sowing,sandy,142.3,119.8,27.8,high,high,low,35.7,26.1,9.8,DAP + MOP,15.0,147.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
groundnut,pre_sowing,black_cotton,93.4,35.1,49.2,high,low,low,79.9,29.6,4.9,SSP + Gypsum,36.0,176.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Ca from gypsum for pod fill
jowar_kharif,pre_sowing,black_cotton,26.4,63.3,81.3,low,medium,medium,24.4,37.6,6.2,DAP,25.0,155.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
rice,grain_fill,laterite,270.6,72.0,131.2,high,medium,high,26.3,28.2,5.3,MOP,6.0,31.8,Foliar spray or side dress during grain/fruit development,Grain filling stage
grapes,pre_sowing,sandy,62.2,107.2,25.6,medium,high,low,20.1,37.3,7.2,DAP + MOP,22.5,162.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Pruning time dose
jowar_rabi,flowering,black_cotton,105.8,98.7,41.3,high,high,low,60.5,19.1,8.4,Urea,7.2,60.5,Apply at flower bud initiation; avoid leaf contact,Light booster
chickpea,pre_sowing,red,17.9,117.1,198.0,low,high,high,20.5,27.9,1.1,SSP + MOP,6.0,6.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
watermelon,grain_fill,red,210.4,82.8,33.4,high,high,low,45.7,25.0,7.3,MOP,18.8,137.2,Foliar spray or side dress during grain/fruit development,Fruit sweetness
chilli,grain_fill,alluvial,45.3,49.6,30.5,medium,medium,low,67.1,12.6,7.2,MOP,15.0,108.0,Foliar spray or side dress during grain/fruit development,Pungency development
bajra,flowering,laterite,222.4,110.3,47.1,high,high,low,62.6,34.2,5.6,Urea,6.0,33.6,Apply at flower bud initiation; avoid leaf contact,Booster dose
watermelon,vegetative,black_cotton,277.5,98.8,83.5,high,high,medium,63.2,26.0,2.2,Urea,9.0,19.8,Top dress at 20-30 DAS; broadcast and irrigate,Vine growth
turmeric,pre_sowing,red,14.7,94.7,70.5,low,high,medium,25.4,28.8,8.2,DAP + MOP,24.0,196.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
bajra,pre_sowing,black_cotton,167.2,79.1,119.5,high,medium,high,50.6,31.8,8.2,DAP,20.0,164.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
sunflower_rabi,flowering,alluvial,165.3,31.9,50.0,high,low,medium,59.0,13.6,7.9,Boron Spray,5.0,39.5,Apply at flower bud initiation; avoid leaf contact,Pollination support
sunflower_rabi,vegetative,black_cotton,89.8,101.5,73.8,medium,high,medium,59.3,35.0,7.4,Urea,18.0,133.2,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
maize_kharif,grain_fill,laterite,122.7,50.8,192.0,high,medium,high,66.7,37.7,8.2,MOP,5.0,41.0,Foliar spray or side dress during grain/fruit development,Cob development
linseed,pre_sowing,red,50.5,24.7,159.4,medium,low,high,24.7,16.6,5.2,DAP + MOP,12.0,62.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
chilli,flowering,laterite,102.2,58.6,48.0,high,medium,low,20.4,29.3,9.6,19:19:19 NPK,11.2,107.5,Apply at flower bud initiation; avoid leaf contact,Fruit set
jowar_rabi,flowering,laterite,236.9,109.7,39.7,high,high,low,37.8,35.7,1.5,Urea,7.2,10.8,Apply at flower bud initiation; avoid leaf contact,Light booster
turmeric,pre_sowing,sandy,190.2,108.9,39.3,high,high,low,77.0,12.0,3.1,DAP + MOP,30.0,93.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
tur_arhar,flowering,red,196.8,68.5,43.9,high,medium,low,44.2,29.5,5.1,MOP,12.5,63.7,Apply at flower bud initiation; avoid leaf contact,Pod setting
moong_kharif,germination,black_cotton,143.6,80.5,124.9,high,high,high,58.4,32.5,5.5,Rhizobium Biofert,5.0,27.5,Apply at sowing time or within first 7 DAS,Seed treatment
rice,grain_fill,red,159.3,85.6,52.3,high,high,medium,49.1,31.6,9.7,MOP,12.0,116.4,Foliar spray or side dress during grain/fruit development,Grain filling stage
cucumber,pre_sowing,red,222.0,75.9,139.2,high,medium,high,38.3,24.4,5.8,DAP + MOP,12.5,72.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
linseed,vegetative,laterite,82.9,38.6,109.5,medium,low,high,34.8,25.3,8.4,Urea,12.0,100.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
pomegranate,pre_sowing,alluvial,269.3,79.2,138.1,high,medium,high,54.0,28.8,5.6,DAP + MOP,17.5,98.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Pre-bloom
chickpea,germination,red,93.4,41.7,122.7,high,low,high,64.1,29.0,7.2,Rhizobium Biofert,5.0,36.0,Apply at sowing time or within first 7 DAS,Seed inoculation
orange,grain_fill,black_cotton,140.0,76.5,172.7,high,medium,high,54.1,12.3,1.7,MOP + Micronutrient,10.0,17.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
banana,grain_fill,sandy,259.3,96.9,40.1,high,high,low,40.3,23.6,7.8,MOP,50.0,390.0,Foliar spray or side dress during grain/fruit development,Bunch filling
jowar_kharif,pre_sowing,black_cotton,76.4,107.5,193.7,medium,high,high,31.4,22.1,7.1,DAP,15.0,106.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
orange,flowering,laterite,101.4,39.6,41.3,high,low,low,32.2,26.9,2.4,Urea,12.0,28.8,Apply at flower bud initiation; avoid leaf contact,Flush growth
moong_kharif,pre_sowing,alluvial,102.6,52.2,65.0,high,medium,medium,60.4,25.1,1.7,SSP + MOP,18.0,30.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N legume
sugarcane,grain_fill,red,179.3,70.9,34.6,high,medium,low,71.4,35.9,1.4,Urea,18.0,25.2,Foliar spray or side dress during grain/fruit development,Elongation stage
jowar_rabi,flowering,laterite,119.8,85.6,131.3,high,high,high,48.1,32.5,3.0,Urea,7.2,21.6,Apply at flower bud initiation; avoid leaf contact,Light booster
orange,grain_fill,laterite,30.1,89.6,149.7,low,high,high,64.1,33.6,7.9,MOP + Micronutrient,10.0,79.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
cotton,grain_fill,red,264.6,41.8,98.1,high,low,medium,26.5,31.3,3.7,MOP,15.0,55.5,Foliar spray or side dress during grain/fruit development,Fibre quality
chickpea,pre_sowing,laterite,61.1,51.2,180.9,medium,medium,high,35.3,14.9,1.2,SSP + MOP,10.0,12.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
bajra,pre_sowing,alluvial,24.3,103.4,65.9,low,high,medium,44.2,26.1,4.2,DAP,12.0,50.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
tomato,pre_sowing,black_cotton,255.5,76.9,144.5,high,medium,high,44.3,33.0,1.9,DAP + MOP,20.0,38.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N
mustard,vegetative,alluvial,94.3,118.8,148.9,high,high,high,48.5,26.0,4.7,Urea,10.8,50.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress at 20 DAS
rabi_maize,pre_sowing,sandy,262.6,112.6,68.1,high,high,medium,23.9,34.3,4.5,DAP + MOP,21.0,94.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
tur_arhar,germination,alluvial,95.5,108.4,193.0,high,high,high,69.7,36.4,7.4,Rhizobium Biofert,5.0,37.0,Apply at sowing time or within first 7 DAS,Seed treatment
urad,germination,black_cotton,113.7,37.7,44.2,high,low,low,24.0,32.3,0.8,Rhizobium Biofert,5.0,4.0,Apply at sowing time or within first 7 DAS,Seed inoculation
wheat,pre_sowing,laterite,252.5,61.2,150.7,high,medium,high,37.3,36.0,7.3,DAP + MOP,17.5,127.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N
jowar_kharif,flowering,laterite,275.9,67.5,161.2,high,medium,high,62.0,20.0,1.9,Urea,9.0,17.1,Apply at flower bud initiation; avoid leaf contact,Second top dress
wheat,flowering,black_cotton,157.8,72.7,122.9,high,medium,high,37.9,19.0,7.6,Urea,6.0,45.6,Apply at flower bud initiation; avoid leaf contact,Grain initiation
pomegranate,grain_fill,sandy,17.1,77.3,185.2,low,medium,high,50.8,20.5,1.3,MOP + Calcium,12.5,16.2,Foliar spray or side dress during grain/fruit development,Fruit development
soybean,germination,red,145.3,60.1,180.3,high,medium,high,78.3,13.1,7.9,Rhizobium Biofert,5.0,39.5,Apply at sowing time or within first 7 DAS,Seed treatment reduces N requirement
chickpea,germination,black_cotton,60.1,39.7,27.8,medium,low,low,38.2,18.6,6.9,Rhizobium Biofert,5.0,34.5,Apply at sowing time or within first 7 DAS,Seed inoculation
chickpea,flowering,sandy,52.0,30.7,115.1,medium,low,high,64.8,23.9,8.4,MOP,4.0,33.6,Apply at flower bud initiation; avoid leaf contact,Foliar K for pod fill
tomato,harvest,sandy,117.7,41.4,28.3,high,low,low,60.3,23.8,9.9,13:00:45 NPK,7.5,74.2,Do not apply; withholding period required,Quality booster
tur_arhar,pre_sowing,red,64.0,26.6,113.6,medium,low,high,67.0,12.9,3.2,SSP + MOP,13.2,42.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P+K basal
safflower,flowering,black_cotton,21.1,23.6,140.6,low,low,high,51.9,29.2,6.5,Urea,13.0,84.5,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
orange,flowering,red,13.1,80.5,56.4,low,high,medium,26.2,20.3,9.1,Urea,26.0,236.6,Apply at flower bud initiation; avoid leaf contact,Flush growth
jowar_kharif,vegetative,alluvial,169.1,103.4,31.7,high,high,low,54.1,14.7,3.7,Urea,12.0,44.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
tomato,flowering,sandy,21.8,70.7,135.1,low,medium,high,72.1,30.1,8.1,19:19:19 NPK,9.8,79.4,Apply at flower bud initiation; avoid leaf contact,Balanced NPK at fruit set
soybean,grain_fill,sandy,32.8,50.5,72.1,low,medium,medium,34.7,16.9,8.4,Micronutrient Mix,5.0,42.0,Foliar spray or side dress during grain/fruit development,Zinc + Boron foliar spray
groundnut,flowering,red,142.1,104.7,196.1,high,high,high,78.6,15.2,8.1,Gypsum,25.0,202.5,Apply at flower bud initiation; avoid leaf contact,Peg development
moong_kharif,flowering,alluvial,53.2,53.5,185.0,medium,medium,high,58.6,35.2,4.2,MOP,4.0,16.8,Apply at flower bud initiation; avoid leaf contact,Pod fill
chilli,flowering,sandy,278.3,63.7,116.9,high,medium,high,20.1,13.5,6.1,19:19:19 NPK,4.5,27.4,Apply at flower bud initiation; avoid leaf contact,Fruit set
safflower,vegetative,alluvial,195.1,105.8,99.2,high,high,medium,43.0,19.2,2.7,Urea,9.0,24.3,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
orange,pre_sowing,alluvial,31.2,114.1,169.9,low,high,high,33.2,19.5,7.9,DAP + MOP,10.5,83.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Post-harvest dose
jowar_kharif,vegetative,alluvial,135.3,64.2,111.4,high,medium,high,66.2,33.5,6.5,Urea,12.0,78.0,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
chickpea,germination,black_cotton,176.2,73.8,129.6,high,medium,high,71.4,28.8,6.1,Rhizobium Biofert,5.0,30.5,Apply at sowing time or within first 7 DAS,Seed inoculation
urad,flowering,black_cotton,231.2,85.2,181.4,high,high,high,36.4,34.7,5.5,MOP,4.0,22.0,Apply at flower bud initiation; avoid leaf contact,Pod development
sesame,pre_sowing,black_cotton,22.7,20.8,24.0,low,low,low,26.2,34.0,5.8,DAP,21.6,125.3,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
sunflower_rabi,pre_sowing,sandy,131.1,112.5,139.0,high,high,high,33.8,14.4,1.3,DAP + MOP,9.0,11.7,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
chickpea,flowering,alluvial,209.4,111.3,186.0,high,high,high,28.1,37.6,0.9,MOP,4.0,3.6,Apply at flower bud initiation; avoid leaf contact,Foliar K for pod fill
tur_arhar,flowering,sandy,217.1,51.1,183.8,high,medium,high,23.6,26.4,6.6,MOP,5.0,33.0,Apply at flower bud initiation; avoid leaf contact,Pod setting
moong_rabi,germination,alluvial,141.0,45.0,163.6,high,medium,high,20.3,16.7,5.6,Rhizobium Biofert,5.0,28.0,Apply at sowing time or within first 7 DAS,Seed treatment
cucumber,flowering,alluvial,181.1,53.3,130.0,high,medium,high,40.7,22.8,5.3,MOP,6.0,31.8,Apply at flower bud initiation; avoid leaf contact,Fruit quality
safflower,vegetative,laterite,76.6,82.3,24.1,medium,high,low,25.3,35.1,1.9,Urea,15.0,28.5,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
jowar_rabi,flowering,laterite,68.2,36.4,90.2,medium,low,medium,20.4,25.6,8.3,Urea,12.0,99.6,Apply at flower bud initiation; avoid leaf contact,Light booster
sunflower_rabi,pre_sowing,black_cotton,254.4,70.5,108.3,high,medium,high,74.5,19.6,9.5,DAP + MOP,15.0,142.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
rice,germination,red,269.0,112.0,28.2,high,high,low,69.2,13.8,9.8,Urea,10.8,105.8,Apply at sowing time or within first 7 DAS,7-10 DAS
linseed,vegetative,laterite,179.0,90.1,140.5,high,high,high,54.4,19.8,1.5,Urea,7.2,10.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
safflower,flowering,red,179.5,35.6,114.5,high,low,high,45.0,33.4,3.5,Urea,6.0,21.0,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
wheat,flowering,red,132.8,94.2,133.8,high,high,high,78.4,33.2,1.0,Urea,6.0,6.0,Apply at flower bud initiation; avoid leaf contact,Grain initiation
chickpea,flowering,red,39.6,42.4,126.5,low,low,high,73.9,13.0,1.8,MOP,4.0,7.2,Apply at flower bud initiation; avoid leaf contact,Foliar K for pod fill
sunflower_rabi,flowering,laterite,19.4,97.1,27.0,low,high,low,76.2,19.2,4.1,Boron Spray,5.0,20.5,Apply at flower bud initiation; avoid leaf contact,Pollination support
cucumber,pre_sowing,sandy,238.5,36.1,104.2,high,low,high,78.5,13.4,5.2,DAP + MOP,15.0,78.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
onion,pre_sowing,black_cotton,195.2,112.1,44.0,high,high,low,60.3,15.9,1.0,DAP + MOP,26.2,26.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N
turmeric,vegetative,red,170.8,103.8,143.0,high,high,high,73.0,27.7,2.0,Urea + MOP,9.0,18.0,Top dress at 20-30 DAS; broadcast and irrigate,Rhizome development
wheat,vegetative,black_cotton,67.2,29.9,194.1,medium,low,high,31.6,29.9,6.9,Urea,20.0,138.0,Top dress at 20-30 DAS; broadcast and irrigate,Tillering
orange,pre_sowing,alluvial,256.0,54.1,175.3,high,medium,high,37.0,23.0,5.4,DAP + MOP,17.5,94.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Post-harvest dose
watermelon,grain_fill,alluvial,156.1,33.7,29.2,high,low,low,56.0,37.2,9.3,MOP,18.8,174.8,Foliar spray or side dress during grain/fruit development,Fruit sweetness
sesame,pre_sowing,black_cotton,53.1,81.9,94.6,medium,high,medium,73.7,37.1,7.3,DAP,10.8,78.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
orange,grain_fill,red,149.1,97.6,164.9,high,high,high,71.5,25.6,7.1,MOP + Micronutrient,10.0,71.0,Foliar spray or side dress during grain/fruit development,Fruit color + quality
sunflower_kharif,flowering,alluvial,131.4,114.9,81.7,high,high,medium,22.5,29.0,4.9,Boron Spray,5.0,24.5,Apply at flower bud initiation; avoid leaf contact,Prevent hollow stem
jowar_kharif,vegetative,red,45.3,25.0,149.6,medium,low,high,57.0,37.1,9.5,Urea,20.0,190.0,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
maize_kharif,vegetative,laterite,167.5,22.6,135.2,high,low,high,36.0,33.9,2.0,Urea,15.0,30.0,Top dress at 20-30 DAS; broadcast and irrigate,Knee high stage N
sugarcane,germination,laterite,35.4,45.2,102.3,low,medium,high,52.9,35.0,4.7,Urea,32.5,152.8,Apply at sowing time or within first 7 DAS,Germination boost
turmeric,grain_fill,alluvial,10.0,36.6,163.5,low,low,high,37.6,34.7,7.4,MOP,10.0,74.0,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
pomegranate,grain_fill,red,183.0,35.6,23.0,high,low,low,47.4,30.0,7.1,MOP + Calcium,31.2,221.5,Foliar spray or side dress during grain/fruit development,Fruit development
moong_kharif,germination,sandy,29.4,59.3,70.8,low,medium,medium,48.3,28.4,8.6,Rhizobium Biofert,5.0,43.0,Apply at sowing time or within first 7 DAS,Seed treatment
tomato,vegetative,alluvial,195.8,65.8,48.7,high,medium,low,57.7,14.6,2.4,Urea,12.0,28.8,Top dress at 20-30 DAS; broadcast and irrigate,Vegetative growth
sunflower_kharif,vegetative,red,191.9,103.4,94.8,high,high,medium,68.8,18.7,1.0,Urea,10.8,10.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
jowar_rabi,vegetative,sandy,158.9,37.2,189.5,high,low,high,75.7,36.8,8.8,Urea,12.0,105.6,Top dress at 20-30 DAS; broadcast and irrigate,Split N top dress
cotton,grain_fill,red,88.2,32.2,41.0,medium,low,low,79.2,15.7,4.6,MOP,18.8,86.5,Foliar spray or side dress during grain/fruit development,Fibre quality
moong_kharif,flowering,laterite,104.3,57.8,115.6,high,medium,high,39.3,24.2,6.0,MOP,4.0,24.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
onion,grain_fill,black_cotton,187.8,24.1,31.6,high,low,low,63.0,34.1,3.2,MOP,18.8,60.2,Foliar spray or side dress during grain/fruit development,Bulb development
onion,grain_fill,alluvial,279.8,28.1,163.2,high,low,high,53.5,35.9,3.3,MOP,7.5,24.8,Foliar spray or side dress during grain/fruit development,Bulb development
cucumber,flowering,red,184.2,89.5,187.3,high,high,high,74.1,18.6,4.6,MOP,6.0,27.6,Apply at flower bud initiation; avoid leaf contact,Fruit quality
moong_rabi,germination,red,250.1,118.9,101.5,high,high,high,49.5,14.8,7.0,Rhizobium Biofert,5.0,35.0,Apply at sowing time or within first 7 DAS,Seed treatment
orange,pre_sowing,laterite,120.5,29.1,136.8,high,low,high,45.7,34.2,8.5,DAP + MOP,21.0,178.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Post-harvest dose
sesame,vegetative,alluvial,269.9,77.7,27.9,high,medium,low,50.9,20.1,2.6,Urea,7.2,18.7,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
tomato,vegetative,alluvial,54.2,53.9,126.7,medium,medium,high,42.1,34.6,7.8,Urea,20.0,156.0,Top dress at 20-30 DAS; broadcast and irrigate,Vegetative growth
jowar_rabi,flowering,red,44.3,74.3,125.5,medium,medium,high,34.0,32.1,6.0,Urea,12.0,72.0,Apply at flower bud initiation; avoid leaf contact,Light booster
moong_kharif,flowering,sandy,158.4,65.0,80.5,high,medium,medium,55.1,32.4,2.6,MOP,8.0,20.8,Apply at flower bud initiation; avoid leaf contact,Pod fill
wheat,flowering,black_cotton,155.7,37.9,103.5,high,low,high,70.7,36.0,1.3,Urea,6.0,7.8,Apply at flower bud initiation; avoid leaf contact,Grain initiation
cucumber,vegetative,black_cotton,192.5,33.5,137.5,high,low,high,50.1,31.3,0.8,Urea,9.0,7.2,Top dress at 20-30 DAS; broadcast and irrigate,Growth boost
sesame,vegetative,alluvial,201.5,85.3,148.1,high,high,high,71.5,34.5,4.8,Urea,7.2,34.6,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
moong_kharif,flowering,alluvial,201.1,41.9,58.6,high,low,medium,26.4,22.2,5.0,MOP,8.0,40.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
safflower,vegetative,black_cotton,274.3,119.7,188.3,high,high,high,29.7,36.1,8.6,Urea,9.0,77.4,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
urad,pre_sowing,black_cotton,207.0,48.5,88.0,high,medium,medium,37.6,12.2,5.0,SSP + MOP,18.0,90.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P+K
sesame,pre_sowing,laterite,175.2,30.5,175.5,high,low,high,66.7,35.3,1.0,DAP,21.6,21.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
rabi_maize,flowering,laterite,54.4,46.1,106.1,medium,medium,high,62.1,37.4,0.8,Urea,18.0,14.4,Apply at flower bud initiation; avoid leaf contact,Booster
sesame,vegetative,alluvial,129.4,88.6,35.3,high,high,low,53.9,35.3,8.1,Urea,7.2,58.3,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
sugarcane,harvest,red,241.7,81.4,71.0,high,high,medium,67.1,23.3,5.7,MOP,20.0,114.0,Do not apply; withholding period required,Juice quality
wheat,flowering,red,144.8,52.1,31.2,high,medium,low,20.7,14.4,2.0,Urea,6.0,12.0,Apply at flower bud initiation; avoid leaf contact,Grain initiation
linseed,pre_sowing,sandy,167.4,29.5,104.2,high,low,high,44.9,17.5,7.9,DAP + MOP,12.0,94.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
safflower,flowering,alluvial,150.1,33.0,101.1,high,low,high,76.9,37.8,9.5,Urea,6.0,57.0,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
onion,harvest,laterite,74.9,62.4,36.5,medium,medium,low,77.8,13.9,2.4,NO FERTILIZER,0.0,0.0,Do not apply; withholding period required,Stop 3 weeks before harvest
tomato,vegetative,red,158.0,57.1,178.3,high,medium,high,22.9,28.5,2.0,Urea,12.0,24.0,Top dress at 20-30 DAS; broadcast and irrigate,Vegetative growth
groundnut,germination,black_cotton,141.2,43.9,101.7,high,low,high,31.0,14.6,5.8,Rhizobium Biofert,5.0,29.0,Apply at sowing time or within first 7 DAS,Seed inoculation
pomegranate,pre_sowing,laterite,215.5,100.6,87.9,high,high,medium,24.0,34.7,3.0,DAP + MOP,21.0,63.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Pre-bloom
mustard,pre_sowing,black_cotton,260.2,32.0,199.1,high,low,high,64.4,27.2,8.0,DAP + MOP,15.0,120.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal; sulfur from SSP
tur_arhar,germination,black_cotton,230.4,58.6,52.5,high,medium,medium,79.8,21.7,7.2,Rhizobium Biofert,5.0,36.0,Apply at sowing time or within first 7 DAS,Seed treatment
cucumber,flowering,laterite,267.4,66.1,23.3,high,medium,low,79.5,15.4,6.7,MOP,15.0,100.5,Apply at flower bud initiation; avoid leaf contact,Fruit quality
maize_kharif,grain_fill,alluvial,47.7,39.2,40.4,medium,low,low,57.4,36.5,9.1,MOP,12.5,113.8,Foliar spray or side dress during grain/fruit development,Cob development
pomegranate,grain_fill,sandy,33.3,24.7,153.2,low,low,high,24.3,24.8,1.0,MOP + Calcium,12.5,12.5,Foliar spray or side dress during grain/fruit development,Fruit development
soybean,pre_sowing,black_cotton,77.2,32.3,32.4,medium,low,low,21.1,34.4,2.1,SSP + MOP,37.5,78.8,"Apply 7 days before sowing, mix into topsoil 10-15cm","Basal: 0 N, 50 P2O5, 40 K2O kg/ha via SSP+MOP"
chickpea,pre_sowing,sandy,152.9,36.9,98.0,high,low,medium,26.2,28.1,6.0,SSP + MOP,24.0,144.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
urad,flowering,laterite,44.7,22.5,30.3,medium,low,low,39.0,20.6,2.8,MOP,10.0,28.0,Apply at flower bud initiation; avoid leaf contact,Pod development
sugarcane,pre_sowing,black_cotton,119.3,37.0,24.1,high,low,low,50.2,20.6,2.0,DAP + MOP,75.0,150.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Heavy feeder; high basal
